title,url,servings,prepTime,cookTime,totalTime,ingredients,directions,nutrition_calories,nutrition_total_fat,nutrition_saturated_fat,nutrition_cholesterol,nutrition_sodium,nutrition_total_carbohydrate,nutrition_dietary_fiber,nutrition_total_sugars,nutrition_protein,nutrition_vitamin_c,nutrition_calcium,nutrition_iron,nutrition_potassium
Leche Flan,https://www.allrecipes.com/recipe/262423/leche-flan/,12,10m,1h 10m,6h 20m,1 cup sugar | 0.75 cup water | 1 (13 ounce) can sweetened condensed milk | 1 (13 ounce) can evaporated milk | 12 egg yolks | 1 tablespoon vanilla extract,"2. Gather all ingredients. Preheat the oven to 375 degrees F (190 degrees C). | 3. Combine sugar and water in a medium saucepan over medium-high heat. Bring to a boil without stirring to avoid the mixture crystallizing. Continue to boil, swirling the pan occasionally, until sugar syrup begins to brown, 7 to 10 minutes. Reduce the heat to medium low and watch the color. | 4. Once the caramel is a deep brown, 2 to 3 minutes, immediately pour it into a 10-inch flan mold. Carefully tilt the mold to make sure the whole bottom surface is covered. | 5. Combine evaporated milk, condensed milk, egg yolks, and vanilla extract in a large bowl. Stir lightly to prevent bubbles or foam from forming; strain batter. | 6. Place a roasting pan large enough to hold the flan mold on the oven rack. Fold two 32-inch long sheets of foil lengthwise in quarters to make strips. Cross the strips and place the flan mold in the roasting pan, with the ends of the strips extending over the edges of the roasting pan. Crimp ends slightly to keep them in place. | 7. Slowly pour the custard mixture into the caramel-lined flan mold. | 8. Add enough hot water to the roasting pan to come halfway up the side of the mold. Cover the roasting pan with aluminum foil. | 9. Bake in the preheated oven until firm and a knife inserted near the center comes out clean, about 1 hour. Carefully remove the roasting pan from the oven. Carefully remove the flan mold from the roasting pan using the foil strips. Let cool on a wire rack, about 1 hour. Cover and chill in the refrigerator until completely cool, at least 4 hours or overnight. | 10. Run a paring knife around the edges of the flan. Cover the mold with a rimmed platter and carefully flip it over to release the flan from the mold for serving. Scrape any excess caramel from the mold over the flan.",387kcal,14g,7g,336mg,119mg,55g,not provided,55g,11g,2mg,281mg,1mg,337mg
Jägerschnitzel,https://www.allrecipes.com/recipe/60708/jagerschnitzel/,4,15m,40m,55m,"1 egg, beaten | 1 cup bread crumbs | 1 tablespoon all-purpose flour | salt and pepper to taste | 4 pork steaks or cutlets, pounded thin | 2 tablespoons vegetable oil | 1 medium onion, diced | 1 (8 ounce) can sliced mushrooms | 1.5 cups water | 1 cube beef bouillon | 0.5 cup sour cream | 1 tablespoon cornstarch","2. Place beaten egg in a shallow dish. Mix together bread crumbs and flour in a second shallow dish; season with salt and pepper. | 3. Dip pork steaks in beaten egg, then press into bread crumb mixture to coat. | 4. Heat oil in a large skillet over medium-high heat. Fry coated steaks in hot oil until browned and cooked through, about 5 minutes per side. An instant-read thermometer inserted into the center of steaks should read at least 145 degrees F (63 degrees C). Remove steaks to a platter and keep warm. | 5. Add onion and mushrooms to drippings in the skillet; cook and stir until lightly browned. Pour in water and stir in bouillon cube until dissolved. Simmer for about 20 minutes. | 6. Combine sour cream and cornstarch in a small bowl; stir into the skillet. Cook over low heat until sauce is thickened, but do not boil. Spoon sauce over steaks to serve.",917kcal,57g,21g,285mg,658mg,30g,3g,5g,67g,4mg,138mg,7mg,1076mg
Easy Chicken Curry,https://www.allrecipes.com/recipe/15156/easy-chicken-curry/,6,10m,30m,40m,"0.25 cup olive oil | 2 large onions, diced | 0.33333334326744 cup curry powder, or to taste | 6 skinless, boneless chicken breast halves - cut into strips","2. Gather the ingredients. | 3. Heat oil in a large skillet over medium heat until hot. Add onion and sauté until soft and golden brown, 5 to 8 minutes. | 4. Slowly stir in curry powder until well blended. | 5. Add chicken; reduce the heat to low, cover, and cook until chicken is no longer pink in the center and the juices run clear, 20 to 40 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). | 6. Uncover and cook, stirring constantly to prevent burning, until pan juices reduce to desired amount, 3 to 5 minutes.",247kcal,11g,2g,68mg,82mg,8g,3g,2g,29g,6mg,51mg,3mg,460mg
Krautburger,https://www.allrecipes.com/recipe/34892/krautburger/,16,40m,40m,1h 30m,"1 pound lean ground beef | 1 onion, chopped | 0.5 medium head cabbage, shredded | 0.5 (1 ounce) package dry onion soup mix | 1 (8 ounce) package mild Cheddar cheese, sliced | black pepper to taste | 2 (1 pound) loaves frozen bread dough, thawed | butter flavored cooking spray | 0.25 cup margarine, melted","2. Preheat oven to 350 degrees F (175 degrees C). Place ground beef in a large, deep skillet. Cook over medium high heat until evenly brown. Drain fat. Stir in cabbage and onion soup mix; cook 5 minutes longer, or until lightly browned. Set aside. | 3. Roll one loaf of bread dough into a 16x8 inch rectangle, then cut into eight 4 inch squares. Spoon cabbage mixture into center of each square, top with 1 small slice cheese and bring up diagonal points, pinching edges closed. Place krautburgers on a cookie sheet coated with cooking spray, and let rise for about 10 minutes. | 4. Bake for 20 minutes, or until brown. Brush tops of warm rolls with margarine. Repeat process with second loaf of bread and remaining cabbage mixture and cheese.",307kcal,13g,5g,33mg,537mg,30g,3g,4g,15g,11mg,119mg,3mg,140mg
Grilled Spatchcocked Greek Chicken,https://www.allrecipes.com/recipe/274629/grilled-spatchcocked-greek-chicken/,6,15m,1h 0m,1h 25m,"1 cup extra virgin olive oil | 0.25 cup lemon juice | 3 tablespoons chopped fresh oregano | 3 cloves garlic, minced | 2 teaspoons minced fresh rosemary | 1 teaspoon dried tarragon | 1 (4.5 pound) whole chicken, spatchcocked | salt and ground black pepper to taste","2. Whisk olive oil, lemon juice, oregano, garlic, rosemary, and tarragon together in a measuring cup. | 3. Preheat an outdoor grill for medium-high heat and lightly oil the grate. | 4. Place chicken on a rimmed baking sheet. Pour 1/2 of the oil mixture over the chicken and reserve the remaining 1/2. Using your hands, massage the oil mixture into the chicken skin. Season with salt and pepper. | 5. Grill chicken skin-side up over indirect heat for 50 minutes. Move chicken over direct heat and grill 5 minutes. Carefully flip chicken over skin-side down and grill until skin is brown and crispy, about 5 more minutes. Transfer chicken to a serving platter and let rest for 10 minutes. | 6. Drizzle reserved oil mixture over the chicken. Carve and serve.",1213kcal,115g,27g,159mg,151mg,2g,0g,0g,39g,7mg,44mg,3mg,299mg
Chicken Fried Rice,https://www.allrecipes.com/recipe/16954/chinese-chicken-fried-rice-ii/,4,5m,10m,15m,"1 egg | 1 tablespoon water | 1 tablespoon butter | 1 tablespoon vegetable oil | 1 onion, chopped | 2 cups cooked white rice, cold | 1 cup cooked, chopped chicken meat | 2 tablespoons soy sauce | 1 teaspoon ground black pepper","2. Gather all ingredients. | 3. Beat egg and water together in small bowl. Melt butter in a large skillet or wok over medium-low heat; add egg and cook without stirring, 1 to 2 minutes. Remove egg from skillet and cut into shreds; set aside. | 4. Heat oil in the same skillet. Add onion; cook and stir until soft, about 3 minutes. Stir in rice, chicken, soy sauce, and pepper. Cook and stir for about 5 minutes; stir in shredded egg. Serve hot.",255kcal,10g,3g,83mg,516mg,26g,1g,1g,14g,2mg,31mg,2mg,172mg
Lumpia (Shanghai Version),https://www.allrecipes.com/recipe/40351/lumpia-shanghai-version/,20,1h 0m,20m,1h 20m,"1 pound ground pork | 1 pound ground beef | 1 medium onion, finely chopped | 1 carrot, grated | 0.25 cup soy sauce | 2 tablespoons salt | 1.5 tablespoons garlic powder | 2.5 teaspoons black pepper | 1 (16 ounce) package spring roll wrappers | 0.25 cup water, or as needed | 1.5 quarts oil for frying","2. Combine ground pork, ground beef, onion, and carrot in a large bowl; mix well with hands. Gradually blend in soy sauce, salt, garlic powder, and pepper until incorporated. | 3. Working one at a time, lay a wrapper on a flat surface with a corner pointing at you. Place about 2 tablespoons filling in a line, no thicker than your thumb, across the center of the wrapper. Moisten the edges of wrapper with water. Fold the bottom edge of wrapper snugly over filling. Fold in the left and right sides of wrapper towards the center. Roll up tightly to seal in filling. | 4. Heat oil in a deep fryer or heavy skillet to 375 degrees F (190 degrees C). | 5. Working in batches, fry lumpia in hot oil, turning once, until golden brown, 3 to 4 minutes. Drain on a paper towel-lined plate. Cut lumpia in half, or serve as-is with dipping sauce.",262kcal,18g,5g,38mg,1037mg,15g,1g,1g,10g,1mg,21mg,2mg,170mg
Pork Lo Mein,https://www.allrecipes.com/recipe/231523/pork-lo-mein/,4,15m,15m,30m,"1 (8 ounce) package linguine | 0.33333334326744 cup low-sodium soy sauce | 2 tablespoons rice vinegar | 2 teaspoons cornstarch | 1 teaspoon white sugar | 0.5 teaspoon sesame oil | 2 tablespoons canola oil | 2 cups snap peas | 1 small sweet onion, chopped | 1 (12 ounce) pork tenderloin, cut into thin strips | 1 (8 ounce) package sliced white mushrooms | 1 medium red bell pepper, chopped | 3 cloves garlic, chopped, divided | 0.5 teaspoon chopped fresh ginger, or to taste | 3 green onions, sliced","2. Bring a large pot of lightly salted water to a boil; cook the linguine at a boil until tender yet firm to the bite, 8 to 9 minutes; drain. | 3. Meanwhile, whisk soy sauce, vinegar, cornstarch, sugar, and sesame oil together in a small bowl. | 4. Heat canola oil in a large skillet over medium-high heat. Add snap peas and onion; cook and stir until onion is translucent, about 2 minutes. Add pork, mushrooms, red bell pepper, 1/3 of the garlic, and ginger; cook until pork is no longer pink, about 2 minutes. | 5. Add remaining garlic to the skillet and cook until fragrant, about 1 minute. Pour in soy sauce mixture; cook and stir until sauce thickens, about 1 minute. Remove from the heat. | 6. Stir linguine into the skillet until coated; sprinkle green onions over top.",415kcal,11g,2g,37mg,794mg,55g,5g,7g,26g,73mg,60mg,4mg,762mg
Easy Two-Ingredient Naan,https://www.allrecipes.com/recipe/280310/two-ingredient-naan/,8,10m,20m,30m,"1.25 cups self-rising flour, or more as needed | 1 cup whole-milk Greek yogurt","2. Mix self-rising flour and Greek yogurt together in a large bowl until combined. Transfer to a lightly floured work surface and knead until smooth, adding more flour as necessary to keep dough from sticking, 2 to 3 minutes. | 3. Pat dough into a rough 9x7-inch rectangle. Divide into 8 equal pieces. Lightly dust each piece with flour and flatten into a semi-rectangular shape, about 1/4 inch thick. | 4. Lightly grease a large skillet and place it over medium heat. Add 1 or 2 of the flattened dough pieces to the skillet. Cook until they begin to bubble and brown, 2 to 4 minutes. Flip over and cook an additional 2 to 4 minutes. Remove from heat and repeat with remaining dough until all pieces are cooked. Serve warm.",102kcal,3g,1g,6mg,264mg,16g,1g,1g,3g,not provided,not provided,not provided,not provided
Szechuan Beef,https://www.allrecipes.com/recipe/20095/szechuan-beef/,6,10m,10m,40m,"1 tablespoon soy sauce | 2 teaspoons cornstarch | 1 clove garlic, minced | 0.25 teaspoon crushed red pepper | 1 pound sirloin steak, cut into bite size strips | 2 tablespoons vegetable oil | 3 cups fresh broccoli florets | 2 small onions, cut into wedges | 1 (8 ounce) can water chestnuts, drained | 0.25 cup chicken broth | 0.5 cup peanuts","2. Stir together soy sauce, cornstarch, garlic, and crushed red pepper in a non-metal bowl. Add steak and toss to coat. Cover the bowl and refrigerate for 20 minutes. | 3. Heat oil in a wok or large skillet over high heat. Stir-fry beef in hot oil until no longer pink, about 5 minutes. Add broccoli, onions, and water chestnuts; cook and stir for 2 minutes. Pour in broth and bring to a boil. Stir in peanuts; cook for 1 minute and serve hot.",306kcal,21g,5g,44mg,243mg,13g,4g,3g,18g,43mg,46mg,3mg,501mg
Orange Chicken,https://www.allrecipes.com/recipe/61024/asian-orange-chicken/,4,20m,20m,2h 50m,"1.5 cups water | 0.33333334326744 cup rice vinegar | 0.25 cup lemon juice | 2.5 tablespoons soy sauce | 2 tablespoons orange juice | 1 cup packed brown sugar | 2 tablespoons chopped green onion | 1 tablespoon grated orange zest | 0.5 teaspoon minced fresh ginger root | 0.5 teaspoon minced garlic | 0.25 teaspoon red pepper flakes | 3 tablespoons cornstarch | 2 tablespoons water | 2 large skinless, boneless chicken breasts, cut into 1/2-inch cubes | 1 cup all-purpose flour | 0.25 teaspoon salt | 0.25 teaspoon pepper | 3 tablespoons olive oil","2. Gather all ingredients. | 3. Combine water, rice vinegar, lemon juice, soy sauce, and orange juice for sauce into a saucepan over medium-high heat. Stir in brown sugar, green onion, orange zest, ginger, garlic, and pepper flakes; bring to a boil. Remove from heat, and cool for 10 to 15 minutes. | 4. Place chicken in a resealable plastic bag. Pour in 1 cup cooled sauce. Seal the bag, and refrigerate for at least 2 hours. Reserve the remaining sauce. | 5. Mix flour, salt, and pepper in another resealable plastic bag. | 6. Remove chicken from the marinade and place into the bag of seasoned flour. Seal the bag and shake to coat. | 7. Heat the olive oil in a large skillet over medium heat. Cook chicken in the hot skillet until browned on both sides. | 8. Remove to a paper towel-lined plate and cover with aluminum foil. Wipe out the skillet. | 9. Pour reserved sauce into the skillet and bring to a boil over medium-high heat. Mix together cornstarch and water until completely smooth. Stir into the boiling sauce. | 10. Reduce heat to medium-low, add the chicken, and simmer, stirring occasionally, until cooked through, about 5 minutes. | 11. Serve over rice and enjoy!",445kcal,11g,2g,34mg,763mg,69g,1g,37g,18g,not provided,not provided,not provided,not provided
Souvlaki,https://www.allrecipes.com/recipe/14713/souvlaki/,12,30m,10m,2h 40m,"0.25 cup olive oil | 0.25 cup soy sauce | 1 medium lemon, juiced | 3 cloves garlic, crushed | 1 teaspoon dried oregano | 3 pounds pork tenderloin, cut into 1 inch cubes | 2 medium yellow onions, cut into 1 inch pieces | 2 medium green bell peppers, cut into 1 inch pieces | skewers","2. Gather all ingredients. | 3. Mix oil, soy sauce, lemon juice, garlic, and oregano together in a large glass bowl. | 4. Add pork, onions, and bell peppers, and stir until coated. Cover and refrigerate for 2 to 3 hours. | 5. Preheat an outdoor grill for medium-high heat and lightly oil the grate. | 6. Remove pork and vegetables from marinade and shake off excess; thread onto skewers. Discard remaining marinade. | 7. Cook on the preheated grill, turning frequently, until pork is no longer pink in the middle, 10 to 15 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",189kcal,8g,2g,65mg,354mg,4g,1g,1g,24g,not provided,not provided,not provided,not provided
